0	Not Specified
1	320 x 200
2	640 x 240
3	640 x 400
4	640 x 480
5	800 x 480
6	800 x 600
7	600 x 800
8	768 x 1024
9	1024 x 480
10	1024 x 768
11	1152 x 864
12	1152 x 1728
13	1280 x 1024
14	1600 x 1024
15	1600 x 1200
16	1600 x 1280
17	2560 x 1024
18	1920 x 1200
19	2048 x 768
20	2048 x 1024
21	2048 x 1536
22	2400 x 600
23	3200 x 1200
24	1024 x 600
25	1152 x 800
26	768 x 600
27	768 x 480
28	640 x 600
29	??? x 1024
30	600 x 400
31	800 x 768
32	??? x 480
33	1600 x 600
34	320 x 400
35	??? x 600
36	1920 x 768
37	1152 x 768
38	800 x 1200
39	768 x 400
40	1152 x 1024
41	2400 x 864
42	600 x 480
43	??? x 768
44	1280 x 864
45	1024 x 1536
46	3200 x 768
47	2400 x 768
48	1280 x 768
49	1024 x 864
50	1920 x 600
51	640 x 800
52	3200 x 1024
53	800 x 400
54	1024 x 800
55	1920 x 1536
56	600 x 600
57	320 x 240
58	1280 x 480
59	1280 x 1200
60	1024 x 400
61	??? x 864
62	2048 x 864
63	??? x 800
64	3200 x 600
65	640 x 864
66	2400 x 800
67	1600 x 1728
68	320 x 480
69	1152 x 1200
70	1600 x 864
71	1280 x 800
72	2048 x 1200
73	1024 x 1024
74	640 x 200
75	??? x 400
76	??? x 1200
77	600 x 240
78	1280 x 1728
79	1024 x 200
80	1920 x 1024
81	1152 x 240
82	1600 x 768
83	640 x 1024
84	1920 x 480
85	2400 x 1024
86	1920 x 1728
87	1920 x 864
88	3200 x 1280
89	1600 x 480
90	1920 x 1280
91	1024 x 1728
92	800 x 240
93	2048 x 1728
94	1152 x 1536
95	3200 x 1536
96	2560 x 480
97	1280 x 400
98	2048 x 600
99	??? x 1280
100	1600 x 800
101	1024 x 1280
102	2048 x 800
103	1024 x 1200
104	800 x ???
105	320 x 600
106	800 x 800
107	2400 x 1728
108	1280 x 1280
109	2560 x 1728
110	640 x 768
111	1024 x ???
112	1280 x 1536
113	2560 x 768
114	768 x 768
115	1920 x 800
116	2560 x 864
117	2400 x 1200
118	600 x 768
119	800 x 200
120	??? x 1536
121	2048 x 1280
122	800 x 1024
123	1152 x 600
124	??? x 200
125	1600 x 400
126	2400 x 1280
127	600 x 200
128	800 x 1280
129	??? x 1728
130	2560 x 1200
131	2400 x 1536
132	1152 x ???
133	640 x ???
134	1600 x 1536
135	1280 x 600
136	600 x ???
137	??? x 240
138	1920 x 400
139	1152 x 1280
140	800 x 1728
141	3200 x 864
142	3200 x 800
143	3200 x 1728
144	320 x ???
145	2560 x 1536
146	2048 x 240
147	1280 x 200
148	2048 x 400
149	1600 x 240
150	2048 x 480
151	800 x 864
152	1600 x ???
153	2560 x 600
154	2560 x 800
155	320 x 768
156	1280 x ???
157	768 x 1536
158	320 x 864
159	2560 x 400
160	768 x 864
161	1024 x 240
162	2560 x 1280
163	1280 x 240
164	1152 x 200
165	640 x 1536
166	1920 x 240
167	320 x 1200
168	2400 x 480
169	768 x ???
170	1152 x 480
171	3200 x 480
172	3200 x 400
173	1600 x 200
174	1152 x 400
175	600 x 864
176	3200 x 240
177	1400 x 1050
178	1400 x 1024
179	1920 x 1050
180	1600 x 1050
181	1400 x 864
182	1400 x 1200
183	1400 x 1280
184	1680 x 1050
185	1366 x 768
186	1920 x 1080
